"id";"user_id";"trigram";"created_at";"updated_at"
"80";"569";"ANS";"2021-11-30 08:09:10";"2021-11-30 08:09:10"
"81";"572";"MUN";"2021-11-30 15:08:54";"2021-11-30 15:08:54"
"82";"578";"RBL";"2022-01-22 18:21:01";"2022-01-22 18:26:50"
"83";"595";"VLP";"2022-05-16 14:47:13";"2022-05-16 14:47:13"
"84";"596";"HRN";"2022-05-16 15:10:31";"2022-05-16 15:10:31"
"85";"597";"FDL";"2022-05-19 11:08:33";"2022-05-19 11:08:33"
"86";"598";"PCH";"2022-05-19 11:21:04";"2022-05-19 11:21:04"
"87";"599";"RDS";"2022-05-19 11:29:54";"2022-05-19 11:29:54"
"88";"600";"RLC";"2022-05-19 11:41:11";"2022-05-19 11:41:11"
"89";"601";"MAX";"2022-05-19 11:49:29";"2022-05-19 11:49:29"
"90";"605";"THE";"2022-06-02 08:39:31";"2022-06-02 08:39:31"
